Name	early_unrefined_intensity	early_refined_intensity	late_unrefined_intensity	late_refined_intensity	cell_count	Cellular function
A1BG	-0.3149688398744649	-0.019246485929369	-0.6426751241283749	-0.0392713061349884	0.3496253861406179	growth hormone receptor signaling pathway
A1CF	-0.7504399968322053	-0.0038700190636636	-0.8253756742988143	-0.0042564623523589	0.4988786089982908	mRNA metabolic process
A2M	-0.1739256101124116	-0.0051459370263959	-0.7647834056712431	-0.022627646623595	0.3440277463339564	negative regulation of complement activation, lectin pathway
A2ML1	-0.1860106772405925	-0.0050447955774421	-0.447377231646253	-0.012133317899478	0.8892466175787412	regulation of endopeptidase activity
A4GALT	-0.463982540841161	-0.002760232135464	-1.2039878992804476	-0.0071625240128193	0.7882508963483567	lipid metabolic process
A4GNT	-0.0072611884858844	-3.939194753592287e-05	-0.7170480539226524	-0.0038899856925303	-0.0825141719701677	carbohydrate derivative metabolic process
AAAS	0.3900206559243998	0.0100527824064514	0.0252237333782668	0.0006501417278248	0.5646515035084012	cytoskeleton organization
AACS	-0.6057176047891641	-0.0112548388145874	-0.9292266646992536	-0.0172659606567768	0.6349919744803575	lipid metabolic process
AADAC	-1.724519787481174	-0.0053149699850169	-1.280177414645241	-0.0039455067919366	0.963554780614554	lipid metabolic process
AADACL2	-0.0195625940846307	-3.844049737629933e-05	-0.4702657938266226	-0.0009240722848693	0.6794139209162389	Other
AADACL4	-0.5467602633680909	-0.000310559829593	-0.6244825752975448	-0.000354706102769	0.726516128363698	Other
AADAT	0.293882428351871	0.0008128787968212	-0.1642217242111894	-0.0004542372891681	0.4131135368722088	amino acid metabolic process
AAGAB	0.5759147545334393	0.0062331253883154	-0.6061694090460521	-0.0065605715141054	0.5892664812312879	Other
AAK1	1.1497190395846757	0.0347881986997531	0.1883078561003188	0.0056978191098834	-0.1217796187131411	membrane organization
AAMDC	-0.4624617347184085	-0.0035170214925334	-0.3305904088983475	-0.0025141400596719	0.5254674342875669	positive regulation of fat cell differentiation
AAMP	-0.5914595982783125	-0.0003560586781635	-0.9728015727040348	-0.0005856265467678	0.7920460402751299	cell motility
AANAT	-0.1070081007222529	-0.0030772319524698	-0.2626712698827609	-0.0075536377080185	0.6357397546256331	protein maturation
AAR2	0.2777412131391	0.0116715189997443	-0.084306913925306	-0.0035428294438831	0.4281068125295155	protein-containing complex assembly
AARD	-0.2667013543266469	-0.0004539257050639	-0.2503376362410781	-0.0004260746568823	0.5543030232504521	Other
AARS1	-1.2239349565372448	-0.3439759041201838	-1.05515855286693	-0.2965428148562749	-0.2902612086703984	tRNA metabolic process
AARS2	0.3678337509399065	0.0003612127434229	0.3764167718658808	0.0003696412699722	-0.146241951828087	tRNA metabolic process
AARSD1	0.4254477693100952	0.0028139115462169	0.3595314068909171	0.0023779407251765	0.3950878808041458	tRNA metabolic process
AASDH	-0.1273855897777943	-0.001009530798989	-0.2067980802105863	-0.0016388747856688	0.2292615109539496	lipid metabolic process
AASDHPPT	-0.0018189749692564	-9.233116943945489e-06	-0.6661835165902641	-0.0033815475302121	1.1858202362024122	modified amino acid metabolic process
AASS	0.802350730775444	0.0102949622265797	-0.19158009142336	-0.0024581641530531	1.0157436490686125	regulation of DNA-templated transcription
AATF	-0.9466724809192546	-0.0006976976184374	-0.8983260595670308	-0.0006620663059009	-0.1298432806991135	regulation of DNA-templated transcription
AATK	-0.9599751834154536	-0.0202804357248348	-0.6331528420935482	-0.0133759869420682	-0.0019144377684306	programmed cell death
ABAT	0.3299098049118743	0.0274564136039858	-0.2623429797152184	-0.0218332321438193	-0.0795354234766626	amino acid metabolic process
ABCA1	0.055959723034863	0.0012493567764763	-0.1514622208498687	-0.0033815455426941	0.4318664489100752	transmembrane transport
ABCA10	-0.2515445511517833	-0.0019605382316769	-0.5917312711573721	-0.0046119535274005	0.933006425331023	transmembrane transport
ABCA12	0.3575708735741449	0.0086678755463108	-0.4408852373472935	-0.0106874990385357	0.5727716890527565	transmembrane transport
ABCA13	0.0444977564393344	0.0013360896348474	-0.4194321338452967	-0.0125938692508388	0.622968326580899	transmembrane transport
ABCA2	-0.609752541923444	-0.0131840694614687	-0.7061474422192726	-0.0152683199956651	0.5747277282394949	lipid metabolic process
ABCA3	-0.2523124175086465	-0.0058180720353318	-0.0636797059232633	-0.0014683903388845	0.2846157134158628	transmembrane transport
ABCA4	0.1800802562246131	0.0027701745815032	-0.4287049664985848	-0.0065947684996477	0.5150505673408283	lipid metabolic process
ABCA5	0.2801715762584507	0.0018188738730698	-0.3305576465862831	-0.0021459802416381	-0.492526821341003	transmembrane transport
ABCA6	0.3908997574970537	0.0029548112669202	0.109394303629766	0.0008269115411374	0.91259960056816	transmembrane transport
ABCA7	-0.1250562806470102	-0.0018627133002372	-0.1586870726438311	-0.0023636439470298	0.4450828429767417	membrane organization
ABCA8	0.2578008952970469	0.002268647878614	0.8433759935600105	0.007421708743328	0.6331156578437475	transmembrane transport
ABCA9	-0.3703649158637899	-0.0029358826880522	-0.1303298594206239	-0.0010331247956272	0.1157757148569328	transmembrane transport
ABCB1	0.3423110234028412	0.0048313777843077	-0.2255332133053567	-0.0031831757725918	-0.5196630782613914	transmembrane transport
